car_id,dealer_id,make,model,year,acquisition_price,expected_resale_price,condition_score,location,ingredients_date,days_in_stock,status
37,1,Volkswagen,Überall,2023,25146.0,28917.899999999998,6,Recklinghausen,2024-05-04 21:24:51,137,sold
38,1,Volkswagen,Schlimm,2019,45408.0,52219.2,7,Recklinghausen,2025-01-25 18:00:52,110,sold
39,1,Volkswagen,Nase,2019,44071.0,50681.649999999994,8,Recklinghausen,2023-02-22 21:48:23,116,sold
40,1,Volkswagen,Gesicht,2020,49075.0,56436.24999999999,3,Recklinghausen,2024-07-20 06:34:17,81,sold
41,1,Volkswagen,Weg,2021,37744.0,43405.6,5,Recklinghausen,2024-08-07 21:27:11,70,sold
42,1,Volkswagen,Bringen,2024,45251.0,52038.649999999994,6,Recklinghausen,2023-12-10 10:01:08,68,sold
43,1,Volkswagen,Vater,2020,23232.0,26716.8,4,Recklinghausen,2023-10-19 08:01:04,108,sold
44,1,Volkswagen,Gesund,2020,23229.0,26713.35,4,Recklinghausen,2025-07-25 05:14:22,137,sold
45,1,Volkswagen,Weiß,2023,42365.0,48719.74999999999,8,Recklinghausen,2026-01-10 03:54:58,162,available
46,1,Volkswagen,Mutter,2021,35986.0,,6,Recklinghausen,2024-12-30 22:30:32,174,available
47,1,Volkswagen,Ruhig,2020,39447.0,,4,Recklinghausen,2023-07-24 09:03:57,123,available
48,1,Volkswagen,Mädchen,2020,48610.0,55901.49999999999,5,Recklinghausen,2024-01-01 04:30:49,140,sold
49,1,Volkswagen,Jeder,2022,47492.0,,4,Recklinghausen,2023-09-08 21:03:47,135,available
50,1,Volkswagen,Los,2020,14437.0,,2,Recklinghausen,2024-11-09 01:06:39,44,available
51,1,Volkswagen,Kennen,2020,11901.0,13686.15,5,Recklinghausen,2024-04-18 13:34:55,112,sold
52,1,Volkswagen,Schluss,2024,44540.0,,10,Recklinghausen,2025-01-03 11:37:27,71,available
53,1,Volkswagen,Tür,2024,14383.0,16540.449999999997,7,Recklinghausen,2024-07-10 05:06:22,103,sold
54,1,Volkswagen,Dumm,2018,27746.0,31907.899999999998,2,Recklinghausen,2023-08-13 20:50:51,89,sold
55,1,Volkswagen,Wohl,2019,28077.0,32288.55,4,Recklinghausen,2024-06-28 03:30:37,113,sold
56,1,Volkswagen,Was,2021,22678.0,26079.699999999997,9,Recklinghausen,2025-02-23 16:24:23,20,sold
57,1,Volkswagen,Was,2023,17771.0,,5,Recklinghausen,2025-10-22 18:32:07,127,available
58,1,Volkswagen,Geld,2018,10048.0,11555.199999999999,2,Recklinghausen,2025-12-30 04:49:15,71,available
59,1,Volkswagen,Selbst,2018,44676.0,51377.399999999994,4,Recklinghausen,2025-07-07 20:31:21,162,sold
60,1,Volkswagen,Unser,2023,45980.0,52876.99999999999,8,Recklinghausen,2024-11-05 11:54:14,7,sold
61,1,Volkswagen,Monate,2024,45241.0,,6,Recklinghausen,2024-06-02 15:58:39,95,available
62,1,Volkswagen,Müde,2018,43058.0,49516.7,10,Recklinghausen,2025-04-07 17:14:35,19,sold
63,1,Volkswagen,Unser,2019,21633.0,24877.949999999997,10,Recklinghausen,2025-10-23 16:17:14,139,available
64,1,Volkswagen,Sein,2022,26082.0,29994.3,3,Recklinghausen,2025-01-14 00:45:24,95,sold
65,1,Volkswagen,Weiß,2019,39012.0,44863.799999999996,4,Recklinghausen,2023-07-29 19:34:45,55,sold
66,1,Volkswagen,Lange,2019,27820.0,31992.999999999996,4,Recklinghausen,2024-04-20 15:53:19,6,sold
67,1,Volkswagen,Gesund,2019,32053.0,36860.95,1,Recklinghausen,2023-02-26 02:30:21,84,sold
68,1,Volkswagen,Böse,2019,21096.0,24260.399999999998,9,Recklinghausen,2025-08-16 08:30:52,64,sold
69,1,Volkswagen,Schiff,2019,21978.0,25274.699999999997,1,Recklinghausen,2025-08-20 23:52:11,42,sold
70,1,Volkswagen,Luft,2024,22330.0,25679.499999999996,1,Recklinghausen,2025-10-12 03:21:41,166,available
71,1,Volkswagen,Jeder,2024,12725.0,14633.749999999998,2,Recklinghausen,2023-11-06 06:00:35,149,sold
72,1,Volkswagen,Kochen,2021,23072.0,26532.8,4,Recklinghausen,2026-01-02 08:42:24,169,available
73,1,Volkswagen,Heiß,2018,37668.0,43318.2,2,Recklinghausen,2025-12-04 10:46:55,105,available
74,1,Volkswagen,Haus,2022,30630.0,35224.5,6,Recklinghausen,2023-10-30 11:06:09,117,sold
75,1,Volkswagen,Tragen,2022,17237.0,,5,Recklinghausen,2023-07-22 22:02:33,75,available
76,1,Volkswagen,Schon,2024,41547.0,47779.049999999996,10,Recklinghausen,2024-03-05 10:51:40,148,sold
77,1,Volkswagen,Dauern,2022,32790.0,,8,Recklinghausen,2023-06-29 20:56:17,158,available
78,1,Volkswagen,Ging,2020,49634.0,57079.1,9,Recklinghausen,2025-04-15 23:02:03,69,sold
79,1,Volkswagen,Denken,2019,24463.0,28132.449999999997,7,Recklinghausen,2023-08-22 23:26:13,5,sold
80,1,Volkswagen,Baum,2018,11018.0,,6,Recklinghausen,2024-10-25 00:07:49,114,available
81,1,Volkswagen,Andere,2024,12682.0,14584.3,7,Recklinghausen,2025-01-20 01:56:09,96,sold
82,1,Volkswagen,Laufen,2022,45850.0,52727.49999999999,8,Recklinghausen,2023-02-15 18:29:13,125,sold
83,1,Volkswagen,Bis,2021,45568.0,52403.2,6,Recklinghausen,2025-12-06 17:35:57,148,available
84,1,Volkswagen,Ganz,2024,23437.0,26952.55,5,Recklinghausen,2023-12-10 03:10:57,136,sold
85,1,Volkswagen,Hinter,2018,17337.0,19937.55,4,Recklinghausen,2024-08-11 08:39:33,165,sold
86,1,Volkswagen,Wissen,2024,33255.0,,8,Recklinghausen,2025-01-20 12:21:25,140,available
87,1,Volkswagen,Schnell,2021,21542.0,24773.3,1,Recklinghausen,2024-08-02 12:26:13,10,sold
88,1,Volkswagen,Ab,2019,11746.0,13507.9,8,Recklinghausen,2026-02-05 21:55:13,99,available
89,1,Volkswagen,Name,2021,49802.0,,4,Recklinghausen,2025-08-13 07:01:25,31,available
90,1,Volkswagen,Am,2018,25089.0,,7,Recklinghausen,2023-05-19 06:40:06,78,available
91,1,Volkswagen,Verkaufen,2022,35759.0,41122.85,4,Recklinghausen,2024-04-03 08:57:15,149,sold
92,1,Volkswagen,Zeitung,2023,14885.0,17117.75,8,Recklinghausen,2024-02-20 16:25:42,9,sold
93,1,Volkswagen,Dabei,2019,37593.0,43231.95,5,Recklinghausen,2024-03-30 10:48:03,119,sold
94,1,Volkswagen,Oder,2022,45089.0,,10,Recklinghausen,2025-05-23 19:22:35,28,available
95,1,Volkswagen,Frage,2022,16341.0,18792.149999999998,1,Recklinghausen,2024-01-31 09:45:41,23,sold
96,1,Volkswagen,Überall,2018,47046.0,,2,Recklinghausen,2024-08-18 01:39:01,173,available
97,1,Volkswagen,Wie,2021,28625.0,32918.75,8,Recklinghausen,2024-06-21 01:52:17,146,sold
98,1,Volkswagen,Sechs,2024,32950.0,,7,Recklinghausen,2025-08-09 08:10:19,134,available
99,1,Volkswagen,Himmel,2023,48980.0,,9,Recklinghausen,2025-03-09 01:39:05,113,available
100,1,Volkswagen,Rad,2018,21639.0,24884.85,3,Recklinghausen,2024-01-19 17:23:24,89,sold
101,1,Volkswagen,Schwester,2019,11723.0,13481.449999999999,7,Recklinghausen,2023-05-23 23:17:25,65,sold
102,1,Volkswagen,Dort,2018,24253.0,27890.949999999997,9,Recklinghausen,2024-10-26 06:43:54,179,sold
103,1,Volkswagen,Neu,2020,24854.0,28582.1,5,Recklinghausen,2025-03-21 12:15:33,13,sold
104,1,Volkswagen,Für,2020,43383.0,49890.45,6,Recklinghausen,2025-02-22 12:39:58,8,sold
105,1,Volkswagen,Platz,2019,20859.0,,4,Recklinghausen,2024-08-25 02:15:08,98,available
106,1,Volkswagen,Tief,2018,38288.0,44031.2,1,Recklinghausen,2025-09-04 03:41:53,139,sold
107,1,Volkswagen,Monat,2019,19918.0,,3,Recklinghausen,2024-09-25 21:38:50,26,available
108,1,Volkswagen,Hat,2019,40540.0,46621.0,1,Recklinghausen,2024-05-07 03:02:57,25,sold
109,1,Volkswagen,Heißen,2024,21760.0,25023.999999999996,10,Recklinghausen,2025-11-10 07:40:12,69,sold
110,1,Volkswagen,Springen,2022,17912.0,20598.8,1,Recklinghausen,2025-01-26 00:30:53,64,sold
111,1,Volkswagen,Drehen,2023,41442.0,47658.299999999996,7,Recklinghausen,2024-07-07 15:46:05,36,sold
112,2,Mercedes-Benz,Dein,2018,23589.0,27127.35,1,Roth,2024-01-22 14:44:46,93,sold
113,2,Volkswagen,Blume,2024,40393.0,46451.95,2,Roth,2025-12-08 22:10:30,100,available
114,2,Audi,Nie,2024,20801.0,23921.149999999998,6,Roth,2025-10-31 21:35:17,153,available
115,2,Mercedes-Benz,Tier,2019,16867.0,19397.05,2,Roth,2023-11-12 04:14:50,124,sold
116,2,Mercedes-Benz,Wald,2022,12956.0,14899.4,9,Roth,2025-08-18 08:53:10,123,sold
117,2,Audi,Ein,2023,24152.0,27774.8,3,Roth,2024-09-02 05:08:24,138,sold
118,2,Audi,Also,2021,16134.0,,1,Roth,2025-03-08 04:35:41,42,available
119,2,Mercedes-Benz,Beide,2018,41344.0,47545.6,8,Roth,2025-09-05 10:22:42,141,sold
120,2,Audi,Ziehen,2022,38693.0,44496.95,9,Roth,2023-09-05 14:40:02,140,sold
121,2,Audi,Dort,2019,34269.0,39409.35,6,Roth,2023-03-26 19:34:54,148,sold
122,2,Audi,Milch,2022,48880.0,56211.99999999999,7,Roth,2024-02-03 00:04:30,63,sold
123,2,Volkswagen,Aber,2024,44786.0,,5,Roth,2023-11-07 16:12:19,118,available
124,2,Volkswagen,Hand,2024,17056.0,19614.399999999998,2,Roth,2024-01-28 05:10:30,26,sold
125,2,Volkswagen,Wort,2021,32380.0,37237.0,10,Roth,2024-09-06 08:42:39,71,sold
126,2,Mercedes-Benz,Fast,2024,16543.0,,2,Roth,2024-02-10 02:23:22,154,available
127,2,Audi,Danach,2022,21107.0,24273.05,10,Roth,2025-12-28 11:30:01,58,available
128,2,Volkswagen,Kam,2022,19286.0,22178.899999999998,7,Roth,2023-07-31 23:26:37,20,sold
129,2,Audi,Wohl,2019,33234.0,38219.1,7,Roth,2025-07-31 07:36:43,104,sold
130,2,Volkswagen,Denn,2021,45600.0,52439.99999999999,4,Roth,2024-01-04 11:45:11,17,sold
131,2,Audi,Haare,2021,13916.0,,1,Roth,2024-08-04 01:47:45,178,available
132,2,Volkswagen,Mögen,2022,23816.0,27388.399999999998,10,Roth,2023-06-07 10:50:18,13,sold
133,2,Volkswagen,Zwei,2024,25111.0,,1,Roth,2024-01-11 23:48:49,76,available
134,2,Mercedes-Benz,Braun,2024,22147.0,25469.05,6,Roth,2024-09-16 13:22:07,155,sold
135,2,Volkswagen,Ging,2021,48207.0,,2,Roth,2024-09-30 03:39:55,111,available
136,2,Mercedes-Benz,Zahl,2023,26715.0,30722.249999999996,2,Roth,2024-05-12 05:41:52,60,sold
137,2,Audi,Dauern,2020,35296.0,40590.399999999994,4,Roth,2023-07-13 08:21:54,133,sold
138,2,Audi,Tag,2021,24580.0,28266.999999999996,10,Roth,2024-09-20 02:38:56,20,sold
139,2,Mercedes-Benz,Fliegen,2020,44907.0,51643.049999999996,9,Roth,2025-09-09 20:49:49,164,available
140,2,Mercedes-Benz,Gott,2024,21758.0,25021.699999999997,4,Roth,2024-06-11 20:06:40,157,sold
141,2,Volkswagen,Haare,2018,28029.0,32233.35,3,Roth,2023-06-14 15:54:19,1,sold
142,2,Volkswagen,Gelb,2024,24957.0,28700.55,6,Roth,2025-12-02 06:35:25,135,available
143,2,Audi,Oma,2019,46478.0,53449.7,4,Roth,2025-07-27 15:26:00,45,sold
144,2,Audi,Beide,2023,48060.0,55268.99999999999,3,Roth,2023-06-11 20:51:00,27,sold
145,2,Volkswagen,Nämlich,2023,43434.0,,10,Roth,2024-03-02 08:21:16,167,available
146,2,Volkswagen,Frau,2021,32020.0,36823.0,1,Roth,2023-11-17 23:19:19,130,sold
147,2,Volkswagen,Fragen,2022,29381.0,33788.149999999994,10,Roth,2025-08-26 00:04:37,179,available
148,2,Mercedes-Benz,Schwer,2019,24229.0,,6,Roth,2025-08-03 23:55:32,149,available
149,2,Audi,Dürfen,2022,40562.0,46646.299999999996,3,Roth,2024-02-18 00:37:31,5,sold
150,2,Volkswagen,Gehören,2018,36158.0,41581.7,8,Roth,2023-03-01 10:55:16,131,sold
151,2,Mercedes-Benz,Hin,2020,34127.0,,8,Roth,2025-10-03 12:06:52,11,available
152,2,Audi,Zeit,2023,45526.0,52354.899999999994,5,Roth,2023-09-04 02:24:19,136,sold
153,2,Volkswagen,Sohn,2019,34545.0,39726.75,4,Roth,2025-12-22 09:54:31,113,available
154,2,Mercedes-Benz,Er,2019,48168.0,55393.2,4,Roth,2024-11-15 00:49:54,31,sold
155,2,Mercedes-Benz,Wenn,2018,28284.0,32526.6,7,Roth,2023-07-09 14:11:48,114,sold
156,2,Mercedes-Benz,Suchen,2018,24590.0,,9,Roth,2024-06-26 14:20:38,49,available
157,2,Volkswagen,Klasse,2021,21045.0,24201.749999999996,6,Roth,2025-05-25 02:58:29,132,sold
158,2,Volkswagen,Machen,2020,23047.0,26504.05,8,Roth,2023-05-17 00:07:49,43,sold
159,2,Mercedes-Benz,Sprechen,2021,26763.0,30777.449999999997,2,Roth,2024-02-29 09:07:48,74,sold
160,2,Volkswagen,Zwischen,2023,40442.0,,4,Roth,2023-09-29 20:09:37,78,available
161,2,Volkswagen,War,2021,10649.0,12246.349999999999,9,Roth,2024-12-15 11:43:40,126,sold
162,2,Mercedes-Benz,Polizei,2022,14318.0,16465.699999999997,10,Roth,2024-06-21 01:47:21,51,sold
163,2,Mercedes-Benz,See,2022,26621.0,30614.149999999998,3,Roth,2024-08-11 12:01:31,35,sold
164,2,Volkswagen,Noch,2021,43876.0,50457.399999999994,8,Roth,2025-10-03 01:17:04,158,available
165,2,Mercedes-Benz,Führen,2018,42211.0,48542.649999999994,6,Roth,2025-01-17 03:37:33,9,sold
166,2,Volkswagen,Verlieren,2019,47114.0,54181.1,3,Roth,2025-10-12 16:35:29,148,available
167,2,Volkswagen,Fröhlich,2020,41767.0,,10,Roth,2024-10-27 05:07:36,63,available
168,2,Mercedes-Benz,Ende,2022,29760.0,34224.0,9,Roth,2024-12-18 18:19:11,49,sold
169,2,Mercedes-Benz,Mein,2023,13618.0,15660.699999999999,10,Roth,2024-07-14 13:38:33,17,sold
170,2,Audi,Sprechen,2019,19072.0,21932.8,7,Roth,2024-09-20 11:37:11,173,sold
171,2,Volkswagen,Wichtig,2021,17533.0,20162.949999999997,1,Roth,2024-07-26 21:50:32,45,sold
172,2,Mercedes-Benz,Erschrecken,2024,35924.0,,2,Roth,2023-05-04 18:39:23,99,available
173,2,Mercedes-Benz,Nächste,2020,37457.0,43075.549999999996,10,Roth,2023-02-25 16:55:20,122,sold
174,3,Audi,Tier,2021,38832.0,44656.799999999996,8,Gießen,2023-05-13 18:41:13,47,sold
175,3,Audi,Licht,2021,19868.0,22848.199999999997,8,Gießen,2023-02-27 09:43:43,74,sold
176,3,Audi,Musik,2021,32346.0,,4,Gießen,2025-08-25 12:38:52,55,available
177,3,Audi,Bis,2019,48828.0,,3,Gießen,2024-04-10 14:24:25,163,available
178,3,Audi,Groß,2021,18525.0,21303.75,9,Gießen,2024-03-12 09:17:07,74,sold
179,3,Audi,Winter,2019,17935.0,20625.25,4,Gießen,2025-09-04 00:35:05,62,sold
180,3,Audi,Stein,2021,18206.0,20936.899999999998,2,Gießen,2023-04-13 22:31:39,72,sold
181,3,Audi,Dick,2021,24162.0,27786.3,7,Gießen,2025-05-25 17:14:04,49,sold
182,3,Audi,Zahl,2022,40317.0,,6,Gießen,2024-09-10 12:07:22,125,available
183,3,Audi,Unten,2023,45727.0,,1,Gießen,2025-10-30 13:34:14,175,available
184,3,Audi,Holen,2023,40801.0,46921.149999999994,5,Gießen,2023-02-17 20:10:52,57,sold
185,3,Audi,Glauben,2024,38263.0,,1,Gießen,2024-12-25 16:49:47,12,available
186,3,Audi,Wird,2022,27813.0,31984.949999999997,9,Gießen,2024-01-09 05:48:38,80,sold
187,3,Audi,Oft,2020,16626.0,,3,Gießen,2024-11-22 20:20:43,170,available
188,3,Audi,Dich,2018,11526.0,13254.9,10,Gießen,2023-05-01 02:09:17,46,sold
189,3,Audi,Meer,2024,29033.0,33387.95,10,Gießen,2023-10-21 17:09:05,91,sold
190,3,Audi,Springen,2023,22411.0,,6,Gießen,2025-05-20 04:37:59,155,available
191,3,Audi,Sieht,2024,27626.0,,8,Gießen,2026-01-06 13:43:44,170,available
192,3,Audi,Schaffen,2023,43781.0,50348.149999999994,9,Gießen,2023-04-18 00:36:43,29,sold
193,3,Audi,Einfach,2019,41130.0,,2,Gießen,2025-07-08 10:33:45,1,available
194,3,Audi,Fahrrad,2021,24114.0,,3,Gießen,2025-02-22 20:10:42,85,available
195,3,Audi,Bringen,2018,47723.0,,10,Gießen,2025-08-15 19:54:04,179,available
196,3,Audi,Vogel,2018,39608.0,45549.2,5,Gießen,2024-03-25 01:56:09,159,sold
197,3,Audi,Vom,2022,27692.0,31845.8,9,Gießen,2024-05-26 10:52:26,126,sold
198,3,Audi,Verlieren,2023,31598.0,36337.7,9,Gießen,2025-10-22 08:26:35,52,sold
199,3,Audi,Sein,2021,39167.0,,8,Gießen,2025-09-05 03:56:15,4,available
200,3,Audi,Darin,2019,42532.0,48911.799999999996,4,Gießen,2024-12-18 10:35:43,59,sold
201,3,Audi,Werfen,2024,41095.0,47259.24999999999,2,Gießen,2025-01-25 14:59:12,60,sold
202,3,Audi,Finden,2018,15080.0,17342.0,1,Gießen,2025-02-22 05:06:21,33,sold
203,3,Audi,Dick,2020,47776.0,54942.399999999994,6,Gießen,2024-09-13 09:19:52,78,sold
204,3,Audi,Bringen,2024,20556.0,,3,Gießen,2024-11-12 14:19:39,137,available
205,3,Audi,Ohne,2024,12513.0,14389.949999999999,1,Gießen,2025-12-02 04:43:31,44,sold
206,3,Audi,An,2018,30054.0,34562.1,2,Gießen,2023-09-15 10:00:06,144,sold
207,3,Audi,Daran,2024,46727.0,,2,Gießen,2026-01-12 14:43:44,16,available
208,3,Audi,Onkel,2023,28172.0,,8,Gießen,2024-03-12 10:32:44,85,available
209,3,Audi,Glücklich,2023,41082.0,47244.299999999996,2,Gießen,2024-05-22 00:51:04,123,sold
210,3,Audi,Nie,2024,12822.0,,9,Gießen,2025-08-05 02:46:05,38,available
211,3,Audi,Ruhig,2021,19813.0,22784.949999999997,1,Gießen,2026-01-05 20:24:38,66,available
212,3,Audi,Haus,2019,18123.0,,4,Gießen,2024-12-20 19:35:28,16,available
213,3,Audi,Fliegen,2019,42609.0,49000.35,3,Gießen,2023-04-23 16:55:24,41,sold
214,3,Audi,Bauen,2023,11250.0,12937.499999999998,3,Gießen,2023-03-23 17:30:19,55,sold
215,3,Audi,Katze,2020,42667.0,,8,Gießen,2023-03-23 15:44:01,84,available
216,3,Audi,Gewinnen,2020,30432.0,34996.799999999996,8,Gießen,2025-06-04 21:49:18,101,sold
217,3,Audi,Wohnung,2018,32424.0,,3,Gießen,2024-07-21 07:07:38,110,available
218,3,Audi,Damit,2021,36378.0,41834.7,1,Gießen,2024-02-18 00:06:03,150,sold
219,3,Audi,Weg,2018,33770.0,38835.5,1,Gießen,2025-02-20 10:47:50,130,sold
220,3,Audi,Lange,2022,48011.0,55212.649999999994,10,Gießen,2025-03-01 19:48:06,159,sold
221,3,Audi,Schluss,2021,40289.0,46332.35,4,Gießen,2023-06-10 04:39:25,33,sold
222,3,Audi,Luft,2018,15377.0,17683.55,10,Gießen,2023-04-28 13:16:18,76,sold
223,3,Audi,Nimmt,2022,28626.0,,10,Gießen,2025-09-28 22:47:38,49,available
224,3,Audi,Natürlich,2020,12796.0,14715.4,3,Gießen,2025-05-19 01:54:37,56,sold
225,3,Audi,Bauen,2022,40867.0,46997.049999999996,4,Gießen,2024-05-22 19:39:45,100,sold
226,3,Audi,Schlecht,2024,23043.0,26499.449999999997,1,Gießen,2025-10-09 00:29:12,140,available
227,3,Audi,Allein,2021,33393.0,38401.95,8,Gießen,2023-09-06 19:04:07,61,sold
228,3,Audi,Gut,2020,31139.0,35809.85,2,Gießen,2023-08-11 18:08:46,47,sold
229,3,Audi,Zum,2021,35360.0,,2,Gießen,2024-01-22 21:21:33,160,available
230,3,Audi,Unter,2018,40871.0,47001.649999999994,1,Gießen,2023-10-13 01:00:04,99,sold
231,3,Audi,Geld,2023,28097.0,,9,Gießen,2025-07-27 12:53:41,104,available
232,3,Audi,Nass,2018,49336.0,56736.399999999994,10,Gießen,2023-05-13 05:44:34,85,sold
233,3,Audi,Blau,2021,18164.0,20888.6,9,Gießen,2025-06-17 15:31:48,167,sold
234,3,Audi,Winter,2018,13927.0,16016.05,1,Gießen,2024-04-16 02:29:32,161,sold
235,3,Audi,Wieder,2021,47614.0,54756.1,8,Gießen,2025-09-22 17:36:32,51,sold
236,3,Audi,Plötzlich,2020,29031.0,,2,Gießen,2023-12-06 05:53:05,47,available
237,3,Audi,Frage,2020,16187.0,18615.05,4,Gießen,2025-01-21 15:32:50,12,sold
238,3,Audi,Dorf,2018,16132.0,18551.8,9,Gießen,2023-06-21 19:15:14,64,sold
239,3,Audi,Verstecken,2019,31547.0,36279.049999999996,7,Gießen,2023-12-19 12:08:19,46,sold
240,3,Audi,Weil,2019,26727.0,30736.05,7,Gießen,2025-10-18 05:27:28,146,available
241,3,Audi,Oma,2022,33728.0,38787.2,1,Gießen,2024-07-27 14:11:50,58,sold
242,3,Audi,Schiff,2018,16115.0,18532.25,2,Gießen,2023-08-04 23:42:41,97,sold
243,3,Audi,Tragen,2022,35892.0,,7,Gießen,2024-11-11 15:22:47,77,available
244,3,Audi,Haben,2019,27199.0,31278.85,8,Gießen,2024-02-24 05:43:24,10,sold
245,3,Audi,Wirklich,2024,12551.0,,7,Gießen,2026-01-27 17:38:57,161,available
246,3,Audi,Vielleicht,2021,22400.0,,10,Gießen,2025-01-18 08:33:41,71,available
247,3,Audi,Dann,2024,26246.0,30182.899999999998,7,Gießen,2023-12-15 06:50:55,65,sold
248,3,Audi,Wichtig,2024,40231.0,46265.649999999994,3,Gießen,2025-10-17 05:58:03,164,available
249,3,Audi,Mehr,2020,11629.0,13373.349999999999,8,Gießen,2025-02-10 14:20:34,73,sold
250,3,Audi,Nun,2018,40246.0,46282.899999999994,7,Gießen,2025-02-24 10:09:04,73,sold
251,3,Audi,Zahl,2021,39980.0,45977.0,2,Gießen,2025-04-20 18:10:33,114,sold
252,3,Audi,Dunkel,2019,23487.0,27010.05,3,Gießen,2023-07-30 01:53:13,77,sold
253,3,Audi,Arzt,2022,12659.0,14557.849999999999,2,Gießen,2024-10-16 23:24:13,61,sold
254,3,Audi,Besser,2023,18656.0,21454.399999999998,10,Gießen,2023-09-07 03:44:40,147,sold
255,3,Audi,Kam,2019,25765.0,29629.749999999996,9,Gießen,2023-08-31 15:30:08,93,sold
256,3,Audi,Mehr,2024,27908.0,32094.199999999997,10,Gießen,2025-12-20 15:08:04,166,available
257,3,Audi,Weihnachten,2020,49156.0,56529.399999999994,10,Gießen,2023-08-19 21:00:06,146,sold
258,3,Audi,Anfangen,2021,42442.0,48808.299999999996,1,Gießen,2023-03-16 03:09:47,122,sold
259,3,Audi,Im,2018,10989.0,12637.349999999999,2,Gießen,2024-02-14 13:56:51,25,sold
260,3,Audi,Zimmer,2019,40561.0,,9,Gießen,2025-11-28 03:59:35,118,available
